"Tag Code","Mark File Name","Mark Date MMDDYYYY","Mark Site Name","Release Date MMDDYYYY","Release Site Name","Species Code","Species Name","Run Code","Run Name","Rear Type Code","Rear Type Name","Recap Date MMDDYYYY","Recap File Name","Recap Release Date MMDDYYYY","Recap Release Site Name","Recap Site Name","Recap Species Code","Recap Species Name","Recap Run Code","Recap Run Name","Recap Rear Type Code","Recap Rear Type Name","Recap Length mm","Recap Weight g","Recap Count"
"384.1B79758BBB","ILR-2022-128-HYD.xml","5/8/2022","HYDTRP - Hayden Creek Rotary Screw Trap","5/8/2022","HYDTRP - Hayden Creek Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","5/9/2022","ILR-2022-129-HYD.xml","5/9/2022","HYDTRP - Hayden Creek Rotary Screw Trap","HYDTRP - Hayden Creek Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","66","3","1"
"384.1B79758CB1","ILR-2020-309-HYD.xml","11/4/2020","HYDTRP - Hayden Creek Rotary Screw Trap","11/4/2020","HYDTRP - Hayden Creek Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","11/5/2020","ILR-2020-310-HYD.xml","11/5/2020","HYDTRP - Hayden Creek Rotary Screw Trap","HYDTRP - Hayden Creek Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","","","1"
"384.1B79758D33","ILR-2020-288-HYD.xml","10/15/2020","HYDTRP - Hayden Creek Rotary Screw Trap","10/15/2020","HYDTRP - Hayden Creek Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","10/23/2020","ILR-2020-297-HYD.xml","10/23/2020","HYDTRP - Hayden Creek Rotary Screw Trap","HYDTRP - Hayden Creek Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","68","3.3","1"
"384.1B79758DB7","ILR-2021-142-HYD.xml","5/22/2021","HYDTRP - Hayden Creek Rotary Screw Trap","5/22/2021","HYDTRP - Hayden Creek Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","5/21/2022","ILR-2022-141-HYD.xml","5/21/2022","HYDTRP - Hayden Creek Rotary Screw Trap","HYDTRP - Hayden Creek Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","141","29.3","1"
"384.1B79759068","ILR-2022-151-LEM.xml","5/31/2022","LEMTRP - Upper Lemhi River Rotary Screw Trap","5/31/2022","LEMTRP - Upper Lemhi River Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","6/1/2022","ILR-2022-152-LEM.xml","6/1/2022","LEMTRP - Upper Lemhi River Rotary Screw Trap","LEMTRP - Upper Lemhi River Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","79","5.8","1"
"384.1B79759099","QCI-2019-172-LFA.xml","6/21/2019","LEMHIR - Lemhi River","6/21/2019","LEMHIR - Lemhi River","1","Chinook","1","Spring","W","Wild Fish or Natural Production","4/29/2020","ILR-2020-120-LLR.xml","4/29/2020","LLRTP - Lower Lemhi River Rotary Screw Trap","LLRTP - Lower Lemhi River Rotary Screw Trap","1","Chinook","1","Spring","W","Wild Fish or Natural Production","118","18","1"
"384.1B797590A9","ILR-2021-142-HYD.xml","5/22/2021","HYDTRP - Hayden Creek Rotary Screw Trap","5/22/2021","HYDTRP - Hayden Creek Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","5/23/2021","ILR-2021-143-HYD.xml","5/23/2021","HYDTRP - Hayden Creek Rotary Screw Trap","HYDTRP - Hayden Creek Rotary Screw Trap","1","Chinook","1","Spring","W","Wild Fish or Natural Production","80","4.7","1"
"384.1B797590AF","ILR-2020-288-HYD.xml","10/14/2020","HYDTRP - Hayden Creek Rotary Screw Trap","10/14/2020","HYDTRP - Hayden Creek Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","10/15/2020","ILR-2020-288-HYD.xml","10/15/2020","HYDTRP - Hayden Creek Rotary Screw Trap","HYDTRP - Hayden Creek Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","","","1"
"384.1B79759171","ILR-2020-308-HYD.xml","11/3/2020","HYDTRP - Hayden Creek Rotary Screw Trap","11/3/2020","HYDTRP - Hayden Creek Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","11/4/2020","ILR-2020-309-HYD.xml","11/4/2020","HYDTRP - Hayden Creek Rotary Screw Trap","HYDTRP - Hayden Creek Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","","","1"
"384.1B797591D1","ILR-2021-283-LEM.xml","10/10/2021","LEMTRP - Upper Lemhi River Rotary Screw Trap","10/10/2021","LEMTRP - Upper Lemhi River Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","10/11/2021","ILR-2021-284-LEM.xml","10/11/2021","LEMTRP - Upper Lemhi River Rotary Screw Trap","LEMTRP - Upper Lemhi River Rotary Screw Trap","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","75","5.1","1"
