tag_code,node,slot,event_type_name,n_dets,min_det,max_det,duration_sec,travel_time_sec,residency_hr,node_id,node_order,path,direction
3DD.003D7FE678,HRSC-OUT,3,Observation,1,2021-10-26T18:50:22Z,2021-10-26T18:50:22Z,0,164,0.04555555555555556,HRSC6,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D7FE6A1,HRSC-OUT,2,Observation,10,2022-06-10T19:37:43Z,2022-06-10T19:37:44Z,1,32338563,8982.934166666666,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D7FE6D0,HRSC-OUT,4,Observation,1,2021-09-18T06:00:51Z,2021-09-18T06:00:51Z,0,6691,1.8586111111111112,HRSC6,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D7FE7EF,HRSC-OUT,2,Observation,1,2021-11-09T18:20:27Z,2021-11-09T18:20:27Z,0,7478,2.0772222222222223,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D7FE8DD,HRSC-MID,5,Observation,120,2022-06-16T16:40:22Z,2022-06-16T18:20:12Z,5990,1352806,375.77944444444444,HRSC5,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
3DD.003D7FED8D,HRSC-MID,2,Observation,2,2022-02-13T23:54:52Z,2022-02-14T21:02:01Z,76029,22583273,6273.131388888889,HRSC5,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
3DD.003D7FED99,HRSC-OUT,6,Observation,1,2021-11-14T06:47:01Z,2021-11-14T06:47:01Z,0,56522,15.700555555555555,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D7FED9A,HRSC-MID,13,Observation,1606,2022-06-23T04:43:57Z,2022-07-29T22:39:53Z,3174956,5716,1.5877777777777777,HRSC5,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
3DD.003D7FEDB9,HRSC-OUT,2,Observation,4,2021-10-13T03:04:21Z,2021-11-24T06:29:02Z,3641081,9742776,2706.326666666667,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D7FEE3A,HRSC-MID,3,Observation,2,2022-01-13T08:50:51Z,2022-01-13T08:57:03Z,372,20,0.005555555555555556,HRSC4,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
3DD.003D7FEE48,HRSC-MID,4,Observation,1,2021-12-18T17:01:47Z,2021-12-18T17:01:47Z,0,155,0.043055555555555555,HRSC5,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
3DD.003D7FEEA1,HRSC-MID,2,Observation,1,2021-10-12T07:51:41Z,2021-10-12T07:51:41Z,0,1625738,451.5938888888889,HRSC4,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
3DD.003D7FEEE8,HRSC-MID,6,Observation,22,2022-06-18T06:22:03Z,2022-06-18T06:22:30Z,27,491,0.1363888888888889,HRSC4,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
