tag_code,node,slot,event_type_name,n_dets,min_det,max_det,duration_sec,travel_time_sec,residency_hr,node_id,node_order,path,direction
3DD.003D57F6A7,HRSC-MID,15,Observation,1,2021-11-08T14:41:33Z,2021-11-08T14:41:33Z,0,77,0.021388888888888888,HRSC4,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
3DD.003D57F6A7,HRSC-MID,16,Observation,1,2021-11-08T15:08:00Z,2021-11-08T15:08:00Z,0,1587,0.44083333333333335,HRSC5,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
3DD.003D57F6A7,HRSC-MID,17,Observation,1,2021-11-08T15:10:43Z,2021-11-08T15:10:43Z,0,163,0.04527777777777778,HRSC4,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
3DD.003D57F6A7,HRSC-MID,19,Observation,1,2021-11-09T06:28:54Z,2021-11-09T06:28:54Z,0,291,0.08083333333333333,HRSC4,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
3DD.003D57F6A7,HRSC-MID,20,Observation,1,2021-11-09T06:31:11Z,2021-11-09T06:31:11Z,0,137,0.03805555555555556,HRSC5,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
3DD.003D57F6A7,HRSC-MID,21,Observation,2,2021-11-09T07:31:19Z,2021-11-09T07:39:32Z,493,3608,1.0022222222222221,HRSC4,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
3DD.003D57F6A7,HRSC-MID,22,Observation,1,2021-11-09T08:02:09Z,2021-11-09T08:02:09Z,0,1357,0.37694444444444447,HRSC5,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
3DD.003D57F6A7,HRSC-MID,23,Observation,1,2021-11-09T08:03:58Z,2021-11-09T08:03:58Z,0,109,0.03027777777777778,HRSC4,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
3DD.003D57F6A7,HRSC-MID,28,Observation,1,2021-11-09T15:34:21Z,2021-11-09T15:34:21Z,0,12128,3.368888888888889,HRSC4,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
3DD.003D57F6A7,HRSC-MID,35,Observation,1,2021-11-13T15:05:54Z,2021-11-13T15:05:54Z,0,30700,8.527777777777779,HRSC5,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
3DD.003D57F6A7,HRSC-OUT,29,Observation,1,2021-11-10T07:03:21Z,2021-11-10T07:03:21Z,0,55740,15.483333333333333,HRSC6,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D57F6A7,HRSC-OUT,30,Observation,3,2021-11-10T07:33:47Z,2021-11-10T11:32:25Z,14318,1826,0.5072222222222222,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D57F6A7,HRSC-OUT,31,Observation,1,2021-11-10T15:25:45Z,2021-11-10T15:25:45Z,0,14000,3.888888888888889,HRSC6,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D57F6A7,HRSC-OUT,32,Observation,1,2021-11-10T15:26:10Z,2021-11-10T15:26:10Z,0,25,0.006944444444444444,HRSC7,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D57F6A7,HRSC-OUT,34,Observation,1,2021-11-13T06:34:14Z,2021-11-13T06:34:14Z,0,160944,44.70666666666666,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D57F6A7,HRSC-OUT,36,Observation,1,2021-11-14T06:46:59Z,2021-11-14T06:46:59Z,0,56465,15.684722222222222,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D57F6A7,HRSC-OUT,37,Observation,1,2021-11-14T07:23:26Z,2021-11-14T07:23:26Z,0,2187,0.6075,HRSC6,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D57F6D5,HRSC-OUT,2,Observation,2,2021-11-11T17:07:08Z,2021-11-11T17:08:08Z,60,2513481,698.1891666666667,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D57F82D,HRSC-OUT,2,Observation,1,2021-10-05T21:15:58Z,2021-10-05T21:15:58Z,0,24483,6.800833333333333,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D57F8A5,HRSC-OUT,2,Observation,1,2021-10-14T22:15:01Z,2021-10-14T22:15:01Z,0,189020,52.50555555555555,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D57F901,HRSC-OUT,2,Observation,1,2022-06-25T07:53:00Z,2022-06-25T07:53:00Z,0,21501574,5972.6594444444445,HRSC6,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
