site,tag,detected,reader,antenna
0HR,3E7.0000001D02,9/25/2022 15:37,1,2
0HR,3E7.0000001D01,9/25/2022 15:37,1,1
0HR,3E7.0000001D03,9/25/2022 15:37,1,3
0HR,3E7.0000001D01,9/25/2022 14:37,1,1
0HR,3E7.0000001D03,9/25/2022 14:37,1,3
0HR,3E7.0000001D02,9/25/2022 14:37,1,2
0HR,3E7.0000001D02,9/25/2022 13:37,1,2
0HR,3E7.0000001D01,9/25/2022 13:37,1,1
0HR,3E7.0000001D03,9/25/2022 13:37,1,3
0HR,3E7.0000001D03,9/25/2022 12:37,1,3
0HR,3E7.0000001D02,9/25/2022 12:37,1,2
0HR,3E7.0000001D01,9/25/2022 12:37,1,1
0HR,3E7.0000001D03,9/25/2022 11:37,1,3
0HR,3E7.0000001D02,9/25/2022 11:37,1,2
0HR,3E7.0000001D01,9/25/2022 11:37,1,1
0HR,3E7.0000001D02,9/25/2022 10:37,1,2
0HR,3E7.0000001D01,9/25/2022 10:37,1,1
0HR,3E7.0000001D03,9/25/2022 10:37,1,3
0HR,3DD.003DE6624F,9/25/2022 10:22,1,3
0HR,3DD.003DE66934,9/25/2022 9:57,1,2
0HR,3DD.003DE66934,9/25/2022 9:57,1,3
0HR,3DD.003DE66934,9/25/2022 9:56,1,2
0HR,3DD.003DE66934,9/25/2022 9:56,1,3
0HR,3DD.003DE66934,9/25/2022 9:55,1,2
0HR,3DD.003DE66934,9/25/2022 9:55,1,3
0HR,3DD.003DE66934,9/25/2022 9:54,1,2
0HR,3DD.003DE66934,9/25/2022 9:54,1,3
0HR,3DD.003DE66934,9/25/2022 9:53,1,2
0HR,3DD.003DE66934,9/25/2022 9:53,1,3
0HR,3E7.0000001D02,9/25/2022 9:37,1,2
0HR,3E7.0000001D01,9/25/2022 9:37,1,1
0HR,3E7.0000001D03,9/25/2022 9:37,1,3
0HR,3E7.0000001D02,9/25/2022 8:37,1,2
0HR,3E7.0000001D01,9/25/2022 8:37,1,1
0HR,3E7.0000001D03,9/25/2022 8:37,1,3
0HR,3E7.0000001D03,9/25/2022 7:37,1,3
0HR,3E7.0000001D02,9/25/2022 7:37,1,2
0HR,3E7.0000001D01,9/25/2022 7:37,1,1
0HR,3E7.0000001D02,9/25/2022 6:37,1,2
0HR,3E7.0000001D01,9/25/2022 6:37,1,1
0HR,3E7.0000001D03,9/25/2022 6:37,1,3
0HR,3E7.0000001D01,9/25/2022 5:37,1,1
0HR,3E7.0000001D03,9/25/2022 5:37,1,3
0HR,3E7.0000001D02,9/25/2022 5:37,1,2
0HR,3E7.0000001D02,9/25/2022 4:37,1,2
0HR,3E7.0000001D01,9/25/2022 4:37,1,1
0HR,3E7.0000001D03,9/25/2022 4:37,1,3
0HR,3E7.0000001D01,9/25/2022 3:37,1,1
0HR,3E7.0000001D03,9/25/2022 3:37,1,3
0HR,3E7.0000001D02,9/25/2022 3:37,1,2
0HR,3DD.003DE66264,9/25/2022 3:25,1,2
0HR,3E7.0000001D01,9/25/2022 2:37,1,1
0HR,3E7.0000001D03,9/25/2022 2:37,1,3
0HR,3E7.0000001D02,9/25/2022 2:37,1,2
0HR,3E7.0000001D03,9/25/2022 1:37,1,3
0HR,3E7.0000001D02,9/25/2022 1:37,1,2
0HR,3E7.0000001D01,9/25/2022 1:37,1,1
0HR,3E7.0000001D03,9/25/2022 0:37,1,3
0HR,3E7.0000001D02,9/25/2022 0:37,1,2
0HR,3E7.0000001D01,9/25/2022 0:37,1,1
0HR,3E7.0000001D02,9/24/2022 23:37,1,2
0HR,3E7.0000001D01,9/24/2022 23:37,1,1
0HR,3E7.0000001D03,9/24/2022 23:37,1,3
0HR,3DD.003DE6628E,9/24/2022 23:00,1,2
0HR,3DD.003DE6628E,9/24/2022 22:58,1,1
0HR,3E7.0000001D02,9/24/2022 22:37,1,2
0HR,3E7.0000001D01,9/24/2022 22:37,1,1
0HR,3E7.0000001D03,9/24/2022 22:37,1,3
0HR,3E7.0000001D01,9/24/2022 21:37,1,1
0HR,3E7.0000001D03,9/24/2022 21:37,1,3
0HR,3E7.0000001D02,9/24/2022 21:37,1,2
0HR,3DD.003DE6628E,9/24/2022 21:33,1,1
0HR,3DD.003E2154A6,9/24/2022 20:44,1,2
0HR,3E7.0000001D02,9/24/2022 20:37,1,2
0HR,3E7.0000001D01,9/24/2022 20:37,1,1
0HR,3E7.0000001D03,9/24/2022 20:37,1,3
0HR,3DD.003DE66914,9/24/2022 19:52,1,1
0HR,3E7.0000001D01,9/24/2022 19:37,1,1
0HR,3E7.0000001D03,9/24/2022 19:37,1,3
0HR,3E7.0000001D02,9/24/2022 19:37,1,2
0HR,3DD.003DE66266,9/24/2022 19:29,1,2
0HR,3DD.003DE66276,9/24/2022 19:27,1,1
0HR,3DD.003D350783,9/24/2022 19:12,1,2
0HR,3E7.0000001D03,9/24/2022 18:37,1,3
0HR,3E7.0000001D02,9/24/2022 18:37,1,2
0HR,3E7.0000001D01,9/24/2022 18:37,1,1
0HR,3E7.0000001D03,9/24/2022 17:37,1,3
0HR,3E7.0000001D02,9/24/2022 17:37,1,2
0HR,3E7.0000001D01,9/24/2022 17:37,1,1
0HR,3E7.0000001D03,9/24/2022 16:37,1,3
0HR,3E7.0000001D02,9/24/2022 16:37,1,2
0HR,3E7.0000001D01,9/24/2022 16:37,1,1
0HR,3E7.0000001D03,9/24/2022 15:37,1,3
0HR,3E7.0000001D02,9/24/2022 15:37,1,2
0HR,3E7.0000001D01,9/24/2022 15:37,1,1
